StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,age,sex,sex_3_TEXT,eth,eth_9_TEXT,rel,rel_8_TEXT,conLib_1,conLib_2,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,sdo_15,sdo_16,sinc_1,introspectiveness_1,introspectiveness_2,introspectiveness_3,introspectiveness_4,introspectiveness_5,introspectiveness_6,introspectiveness_7,introspectiveness_8,introspectiveness_9,introspectiveness2_1,introspectiveness2_2,hon_hum_1,hon_hum_2,hon_hum_3,hon_hum_4,hon_hum_5,hon_hum_6,hon_hum_7,hon_hum_8,hon_hum_9,hon_hum_10,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,JSS_8,beth_1,beth_2,beth_3,beth_4,bethSym1_4,stanley_1,stanley_2,stanley_3,stanley_4,stanleySym1_1,tina_1,tina_2,tina_3,tina_4,tinaSym1_1,speaker_1,speaker_2,speaker_3,speaker_4,speakerSym1_1,bethCheck,bethSRel,bethSwitch_1,bethSwitch_2,bethSwitch_3,bethSwitch_4,bethSym2_1,stanleyCheck,stanleySRel,stanleySwitch_1,stanleySwitch_2,stanleySwitch_3,stanleySwitch_4,stanleySym2_1,tinaCheck,tinaSRel,tinaSwitch_1,tinaSwitch_2,tinaSwitch_3,tinaSwitch_4,tinaSym2_1,speakerCheck,speakerSRel,speakerSwitch_1,speakerSwitch_2,speakerSwitch_3,speakerSwitch_4,speakerSym2_1,coin,bot,box,leftFirst,order,mTurkCode
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,How old are you?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other: - Text,Please indicate which of the following best describes your religious affiliation. - Selected Choice,Please indicate which of the following best describes your religious affiliation. - Other - Text,Please answer these two questions about your political orientation. - How liberal or conservative are you in terms of ECONOMIC issues?,Please answer these two questions about your political orientation. - How liberal or conservative are you in terms of SOCIAL issues?,"Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Some groups of people must be kept in their place.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - It's arguably a good thing that certain groups are at the top and other groups are at the bottom.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - An ideal society requires some groups to be on top and others to be on the bottom.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Some groups of people are simply inferior to other groups.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Groups at the bottom are just as deserving as groups at the top.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - No one group should dominate in society.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Groups at the bottom should not have to stay in their place.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Group dominance is a poor principle.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - We should not push for group equality.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - We shouldn't try to guarantee that every group has the same quality of life.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - It is unjust to try to make groups equal.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Group equality should not be our primary goal.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - We should work to give all groups an equal chance to succeed.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - We should do what we can to equalize conditions for different groups.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.","Show how much you favor or oppose each idea below by
selecting a number from 1 to 7 on the scale. - Group equality should be our ideal.",Rate your level of agreement to the following statement - I make an effort to appear consistent to others.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Interested in psychology.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Often examine your inner motives.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Interested in why you behave the way you do.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Think a lot about why you feel the way you do.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Always trying to figure yourself out.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Worried about meaning in life.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Think about yourself a lot.,Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - Often the subject of your own daydreams.,"Listed below are descriptions of various types of behavior or characeristics of people. How well or poorly do these describe you? - When you are alone, think about yourself a lot.","Listed below are some topics that people think about. In the past three months, how much time have you spent thinking about each? - Your emotions and feelings.","Listed below are some topics that people think about. In the past three months, how much time have you spent thinking about each? - Why you behave the way you do.","Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.","Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - If I knew that I could never get caught, I would be willing to steal a million dollars.",Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - Having a lot of money is not especially important to me.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I think that I'm entitled to more respect than the average person is.,"Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - If I want something from someone, I will laugh at that person's worst jokes.","Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I would never accept a bribe, even if it were very large.",Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I would get a lot of pleasure from owning expensive luxury goods.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I want people to know that I am an important person of high status.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I wouldn't pretend to like someone just to get that person to do favors for me.,"Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I'd be tempted to use counterfeit money, if I were sure I could get away with it.",Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - It makes me angry when others are undeservingly better off than me.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - It worries me when I have to work hard for things that come easily to to others.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I am upset when someone is undeservingly worse off than others.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - It worries me when someone has to work hard for things that come easily to others,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I feel guilty when I am better off than others for no reason.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - It bothers me when things come easily to me that others have to work hard for.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - I feel guilty when I enrich myself at the cost others.,Below are a series of statements . Please indicate how much you agree or disagree with each statement as a description of yourself. - It bothers me when I use tricks to achieve something while others have to struggle for it.,"Please rate your level of agreement with the following statements - Beth's conclusions are controversial, so increased scrutiny is justified","Please rate your level of agreement with the following statements - Strong criticism is a part of science, and Beth should accept that.",Please rate your level of agreement with the following statements - The critics are stifling Beth's academic freedom.,Please rate your level of agreement with the following statements - Critics shouldn't hold Beth's claims to higher standards of evidence than other claims.,"If Beth was able to influence a large amount of people to believe in her research conclusions, how would you feel about this? 
Answer on a scale from -100  (very negative) to +100 (very positive).","Please rate your level of agreement with the following statements - Stanley's employer should have the right to fire him, even if the reason is unrelated to the quality of work produced.",Please rate your level of agreement with the following statements - Stanley's right to freedom of expression was compromised here.,Please rate your level of agreement with the following statements - The people contacting Stanley's employer were morally wrong in doing that.,"Please rate your level of agreement with the following statements - There are limits to freedom of expression, and Stanley might have stepped over those limits here.","If Stanley was able to influence a large amount of people to have less respect for the politician in question, how would you feel about this?
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Please rate your level of agreement with the following statements - Ideally, Tina should have been free to speak her mind without fear of a backlash.",Please rate your level of agreement with the following statements - Tina's critics should be more tolerant of differences in opinion.,"Please rate your level of agreement with the following statements - Facebook is a public forum, so Tina should have been prepared to face the consequences of her post.",Please rate your level of agreement with the following statements - The prominent blogger was in the wrong for bringing negative attention to Tina,"If Tina was able to influence a large amount of people to share her view, how would you feel about this? 
Answer on a scale from -100 
 (very negative) to +100 (very positive).",Please rate your level of agreement with the following statements - The speaker's views are sufficiently harmful that it is legitimate to silence them.,Please rate your level of agreement with the following statements - The protesters are only exercising their free speech; they're not doing anything wrong here.,"Please rate your level of agreement with the following statements - The university administration should not be blamed for disinviting the speaker, as it is fully within its rights to do so.","Please rate your level of agreement with the following statements - It is wrong for the protesters to try to remove the speaker, regardless of how abhorrent they find his views.","If the speaker was able to influence a large amount of people to share his views, how would you feel about this? 
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Remember Beth, the researcher studying personality differences? Do you remember which group of people Beth described as tending to have more of certain undesirable personality traits?","Do
you consider this change in the scenario to be relevant to how you would have answered
any of the questions associated with it?","Please answer the questions once again, but now with the altered scenario in mind. - Beth's conclusions are controversial, so increased scrutiny is justified","Please answer the questions once again, but now with the altered scenario in mind. - Strong criticism is a part of science, and Beth should accept that.","Please answer the questions once again, but now with the altered scenario in mind. - The critics are stifling Beth's academic freedom.","Please answer the questions once again, but now with the altered scenario in mind. - Critics shouldn't hold Beth's claims to higher standards of evidence than other claims.","If this version of Beth was able to influence a large amount of people to believe in her research 
conclusions, how would you feel about this? 
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Remember Stanley, who got fired over posting obscene photoshopped images of a politician online? Do you remember which politician was featured in the images he posted?","Do
you consider this change in the scenario to be relevant to how you would have answered
any of the questions associated with it?","Please answer the questions once again, but now with the altered scenario in mind. - Stanley's employer should have the right to fire him, even if the reason is unrelated to the quality of work produced.","Please answer the questions once again, but now with the altered scenario in mind. - Stanley's right to freedom of expression was compromised here.","Please answer the questions once again, but now with the altered scenario in mind. - The people contacting Stanley's employer were morally wrong in doing that.","Please answer the questions once again, but now with the altered scenario in mind. - There are limits to freedom of expression, and Stanley might have stepped over those limits here.","If this version of Stanley was able to influence a large amount of people to have less respect for the politician in question, how would you feel about this?
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Remember Tina, the girl who wrote a Facebook post and was heavily criticized for it? Do you remember which view Tina expressed?","Do
you consider this change in the scenario to be relevant to how you would have answered
any of the questions associated with it?","Please answer the questions once again, but now with the altered scenario in mind. - Ideally, Tina should have been free to speak her mind without fear of a backlash.","Please answer the questions once again, but now with the altered scenario in mind. - Tina's critics should be more tolerant of differences in opinion.","Please answer the questions once again, but now with the altered scenario in mind. - Facebook is a public forum, so Tina should have been prepared to face the consequences of her post.","Please answer the questions once again, but now with the altered scenario in mind. - The prominent blogger was in the wrong for bringing negative attention to Tina","If this version of Tina was able to influence a large amount of people to share her view, how would you feel about this? 
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Remember the speaker who was invited to speak at a university, but who was later disinvited? Do you remember which message the speaker would convey?","Do
you consider this change in the scenario to be relevant to how you would have answered
any of the questions associated with it?","Please answer the questions once again, but now with the altered scenario in mind. - The speaker's views are sufficiently harmful that it is legitimate to silence them.","Please answer the questions once again, but now with the altered scenario in mind. - The protesters are only exercising their free speech; they're not doing anything wrong here.","Please answer the questions once again, but now with the altered scenario in mind. - The university administration should not be blamed for disinviting the speaker, as it is fully within its rights to do so.","Please answer the questions once again, but now with the altered scenario in mind. - It is wrong for the protesters to try to remove the speaker, regardless of how abhorrent they find his views.","If this version of the speaker was able to influence a large amount of people to share his views, how would you feel about this? 
Answer on a scale from -100 
 (very negative) to +100 (very positive).","Here, you have the opportunity to earn an additional bonus to the posted renumeration for this survey. First, get a coin and decide in advance which sides are heads and tails. Then, flip the coin five times, and count the number of times it lands on heads. You earn 10 cents for each head you flip out of five. Please indicate the number of times the coin landed on heads below. (Payment for this will be given as a bonus soon after data collection is finished, in a week or two.)","Lastly, we want to make sure that you are not a bot. Please help us be confident that you are not a bot by telling us your favorite food in the text box below. (Bots don't eat, so they won't have a favorite food.)","Thank you for completing this survey.
Here's a quick debriefing, detailing the survey's nature and purpose.- The purpose of the study was to examine whether people are consistent in their application of principles related to freedom of speech.- We investigated this by asking about these kinds of principles in varying contexts, to see if a person's loyalties in a particular context influences their attitudes.- The scenarios you were shown were fictional, but inspired by real cases. 

Click on to the next page to get your mTurk code.

If you have any comments you'd like us to see, you can add them in the box below.",leftFirst,order,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_9_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_8_TEXT""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID205_2""}","{""ImportId"":""QID205_3""}","{""ImportId"":""QID205_4""}","{""ImportId"":""QID205_5""}","{""ImportId"":""QID205_6""}","{""ImportId"":""QID205_7""}","{""ImportId"":""QID205_8""}","{""ImportId"":""QID205_9""}","{""ImportId"":""QID205_10""}","{""ImportId"":""QID205_11""}","{""ImportId"":""QID205_12""}","{""ImportId"":""QID205_13""}","{""ImportId"":""QID205_14""}","{""ImportId"":""QID205_15""}","{""ImportId"":""QID205_16""}","{""ImportId"":""QID251_1""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID252_2""}","{""ImportId"":""QID252_3""}","{""ImportId"":""QID252_4""}","{""ImportId"":""QID252_5""}","{""ImportId"":""QID252_6""}","{""ImportId"":""QID252_7""}","{""ImportId"":""QID252_8""}","{""ImportId"":""QID252_9""}","{""ImportId"":""QID255_1""}","{""ImportId"":""QID255_2""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID253_4""}","{""ImportId"":""QID253_5""}","{""ImportId"":""QID253_6""}","{""ImportId"":""QID253_7""}","{""ImportId"":""QID253_8""}","{""ImportId"":""QID253_9""}","{""ImportId"":""QID253_10""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID256_2""}","{""ImportId"":""QID256_3""}","{""ImportId"":""QID256_4""}","{""ImportId"":""QID256_5""}","{""ImportId"":""QID256_6""}","{""ImportId"":""QID256_7""}","{""ImportId"":""QID256_8""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID78_3""}","{""ImportId"":""QID78_4""}","{""ImportId"":""QID241_4""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID119_2""}","{""ImportId"":""QID119_3""}","{""ImportId"":""QID119_4""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID166_2""}","{""ImportId"":""QID166_3""}","{""ImportId"":""QID166_4""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID182_2""}","{""ImportId"":""QID182_3""}","{""ImportId"":""QID182_4""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID229""}","{""ImportId"":""QID237""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID216_2""}","{""ImportId"":""QID216_3""}","{""ImportId"":""QID216_4""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID231""}","{""ImportId"":""QID238""}","{""ImportId"":""QID219_1""}","{""ImportId"":""QID219_2""}","{""ImportId"":""QID219_3""}","{""ImportId"":""QID219_4""}","{""ImportId"":""QID249_1""}","{""ImportId"":""QID233""}","{""ImportId"":""QID240""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID225_2""}","{""ImportId"":""QID225_3""}","{""ImportId"":""QID225_4""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID234""}","{""ImportId"":""QID239""}","{""ImportId"":""QID228_1""}","{""ImportId"":""QID228_2""}","{""ImportId"":""QID228_3""}","{""ImportId"":""QID228_4""}","{""ImportId"":""QID247_1""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258_TEXT""}","{""ImportId"":""QID204_TEXT""}","{""ImportId"":""leftFirst""}","{""ImportId"":""order""}","{""ImportId"":""mTurkCode""}"
2019-06-18 16:49:24,2019-06-18 16:53:40,0,100,255,1,2019-06-18 16:53:40,R_3iVapjZWJgsa5KK,anonymous,EN,36,2,,1,,1,,47,48,5,4,5,5,6,5,4,6,5,6,5,5,5,5,4,5,6,6,5,5,4,5,6,5,5,6,4,3,13,12,12,12,13,13,12,11,12,13,13,12,13,13,13,12,12,13,6,6,5,5,47,6,6,5,5,54,4,5,6,4,61,5,6,5,6,56,3,9,4,5,4,5,40,2,9,5,4,5,6,66,2,5,6,6,5,4,45,2,6,4,6,5,5,62,8,taco,thank you!,1,21,4109333
2019-06-18 16:48:17,2019-06-18 16:58:48,0,100,630,1,2019-06-18 16:58:49,R_PzklQLYBgFYtzUd,anonymous,EN,29,1,,1,,6,,50,-37,2,3,6,4,6,6,6,2,4,5,4,6,7,3,6,5,5,7,7,7,7,7,6,6,5,5,4,5,13,14,12,8,8,9,9,8,13,14,9,8,11,9,9,10,11,10,6,5,2,4,0,6,3,5,5,0,5,6,7,2,0,1,2,4,7,0,3,4,6,5,3,4,0,2,5,6,3,5,5,0,1,2,4,5,7,2,0,1,2,1,2,2,7,0,8,Sushi,,1,12,5536255
2019-06-18 16:50:52,2019-06-18 16:59:26,0,100,514,1,2019-06-18 16:59:27,R_DOIPNDyXm8xIthv,anonymous,EN,36,1,,1,,5,,50,50,7,7,7,7,1,1,1,1,7,7,7,7,1,1,1,1,6,7,6,7,6,7,7,6,5,6,4,4,10,13,10,13,13,8,10,12,13,13,13,14,10,11,8,9,8,12,5,6,2,4,-34,3,6,6,1,-58,1,1,7,1,-100,3,6,3,6,-100,3,7,5,6,3,5,59,2,5,3,6,6,1,58,2,4,5,4,6,1,93,1,2,2,5,2,6,93,9,chicken,n,1,23,1065427
2019-06-18 16:48:59,2019-06-18 17:00:33,0,100,694,1,2019-06-18 17:00:34,R_3MuKMntyEx1Ximf,anonymous,EN,49,1,,1,,5,,5,6,2,3,3,2,5,6,6,5,3,3,3,6,5,5,5,3,4,5,3,2,2,2,2,3,1,2,2,1,9,9,13,9,9,13,9,9,12,9,9,9,11,9,11,11,11,11,2,4,2,5,0,5,2,5,3,0,2,4,6,3,0,4,3,5,4,-22,1,4,4,5,2,6,0,2,4,4,2,3,3,0,2,3,3,4,6,3,10,1,1,3,3,5,5,-21,7,pizza,,1,4,9804213
2019-06-18 16:53:50,2019-06-18 17:01:47,0,100,477,1,2019-06-18 17:01:48,R_3oG7Mf07z8hUTaB,anonymous,EN,32,1,,1,,6,,26,-23,5,4,4,6,3,4,4,5,4,6,5,5,5,3,4,3,6,6,5,4,4,5,5,6,5,6,4,4,10,13,9,11,10,10,11,12,11,11,11,10,11,12,10,9,10,9,1,5,6,7,-19,6,7,7,5,17,6,6,2,4,0,1,2,2,6,0,3,4,1,5,6,7,0,2,4,5,7,7,6,-20,1,1,7,5,2,6,0,1,1,1,3,1,6,-27,9,pizza,n/a,1,8,309959
2019-06-18 16:49:49,2019-06-18 17:02:04,0,100,735,1,2019-06-18 17:02:05,R_6GwhNcEumKTnNtv,anonymous,EN,34,2,,1,,1,,21,23,1,1,1,1,7,7,7,7,1,1,7,1,7,7,7,1,7,7,6,6,6,6,5,5,4,4,3,3,13,9,11,9,9,13,11,9,13,9,9,9,12,9,12,12,13,13,5,7,3,2,-7,5,4,3,5,-4,6,5,5,5,4,5,4,5,7,-29,3,5,6,7,3,2,-11,3,5,3,3,2,6,-4,1,5,6,5,7,5,6,2,1,2,5,5,3,17,6,pizza,,0,8,1109773
2019-06-18 16:53:31,2019-06-18 17:02:42,0,100,550,1,2019-06-18 17:02:43,R_8ADL3qkVs5htiNP,anonymous,EN,28,1,,1,,1,,37,16,5,6,7,5,3,2,5,1,6,5,7,6,2,2,2,1,7,5,6,5,5,6,2,5,5,6,4,4,14,12,9,12,10,10,12,13,12,8,13,9,8,9,8,8,8,9,5,6,3,6,33,2,7,6,1,75,6,7,6,2,75,2,2,1,6,88,1,4,5,6,2,6,-46,3,4,2,7,6,1,-72,1,2,6,7,6,3,-48,2,1,1,3,1,6,-68,8,Burgers,,0,19,7462187
2019-06-18 16:51:44,2019-06-18 17:02:46,0,100,661,1,2019-06-18 17:02:47,R_3HjdpickTF7fCjX,anonymous,EN,36,2,,1,,1,,50,25,6,6,7,6,3,4,4,2,6,4,7,7,2,1,3,2,4,3,6,7,6,6,3,4,1,2,3,3,13,9,14,11,8,13,8,8,14,8,9,8,11,9,10,10,10,14,2,6,3,6,42,4,5,7,1,0,3,5,3,4,100,1,2,3,7,20,1,4,3,6,3,5,0,3,4,4,5,7,1,0,1,1,4,5,3,3,0,2,2,1,6,3,7,-40,8,Tacos,,0,9,700283
